Comment,Designator,Footprint,LCSC
VE-221M1ETR-0810,"C3,C4",CAP-SMD_BD8.0-L8.3-W8.3-RD,C127967
CL31B104KBCNNNC,"C1,C2",C1206,C24497
B3B-EH-ALFSN,J1,CONN3_B3B-EH-ALFSN_JST,
RJ45_Shielded,J3,RJ45_Conrad_1586526,
