Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,CL31B104KBCNNNC,C1206,154.5,-87.376,0.0,top
C2,CL31B104KBCNNNC,C1206,147.5,-87.376,180.0,top
C3,VE-221M1ETR-0810,CAP-SMD_BD8.0-L8.3-W8.3-RD,155.898,-95.492895,-90.0,top
C4,VE-221M1ETR-0810,CAP-SMD_BD8.0-L8.3-W8.3-RD,146.0,-95.5,-90.0,top
J1,B3B-EH-ALFSN,CONN3_B3B-EH-ALFSN_JST,151.0,-83.695,180.0,top
J3,RJ45_Shielded,RJ45_Conrad_1586526,151.0,-112.2225,0.0,top
